id,year,month,location,lat,lon,type,rating,edec,geog.acc,sight.loc,obs.mob,time.period,no.obs,no.thyl,dist
48,1919,NA,Tullochgorum,-41.67695,147.90774,K,4,PS,Approx,Bush,Walking,Unkn,Unkn,1,Unkn
49,1920,6,St Marys,-41.57857,148.16415,K,5,PS,Approx,Bush,Walking,Day,1,1,Near
50,1920,NA,East Ridgley,-41.16258,145.85402,K,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
54,1924,1,North Bischoff Valley,-41.43987,145.61049,K,5,PS,Approx,Bush,Walking,Day,1,1,Near
55,1924,1,North Bischoff Valley,-41.43987,145.61049,S,5,EO,Approx,Bush,Walking,Day,1,2,Near
56,1922,7,Lake Road,-41.80304,146.94828,S,5,EO,Approx,Bush,Driving,Day,1,1,Near
57,1922,7,Barrington Rd,-41.34251,146.28072,S,5,EO,Approx,Road,Driving,Night,1,1,Near
58,1923,5,Arthur River,-41.05263,144.66732,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
60,1922,NA,Mt Balfour,-41.28002,144.87996,S,5,EO,Approx,Bush,Walking,Unkn,1,3+,Unkn
61,1922,NA,Pieman River,-41.6525,145.07653,S,5,EO,Approx,Bush,Walking,Unkn,1,1,Unkn
62,1922,NA,Runnymede,-42.61781,147.56248,K*,5,EO,Approx,Bush,Walking,Unkn,1,1,Far
63,1923,5,Adamsfield,-42.71924,146.3249,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
64,1923,6,Tyenna,-42.72454,146.6759,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
65,1923,9,Gordon River Plains,-42.59706,145.72486,C,5,PS,Approx,Bush,Walking,Unkn,1,3+,Near
67,1924,3,Arthur River,-41.05263,144.66732,C,5,PS,Approx,Bush,Walking,Unkn,1,2,Near
69,1924,NA,Deloraine,-41.52569,146.65818,K,4,PS,Approx,Bush,Walking,Night,1,1,Near
70,1924,NA,Mt Wright,-42.62002,146.3301,S,5,EO,Approx,Bush,Walking,Unkn,2,1,Near
71,1924,NA,Saw Back Range,-42.76637,146.34017,S,5,EO,Approx,Bush,Walking,Unkn,1,2,Far
72,1924,NA,Styx River,-42.77837,146.77114,S,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
73,1925,5,Goodrich Plain,-41.65692,145.60547,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
77,1925,NA,Arthur River,-41.05263,144.66732,K,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
78,1925,NA,Maynes Hill,-42.7786,146.57178,C,5,PS,Approx,Bush,Walking,Unkn,1,2,Near
79,1925,NA,Trowutta,-41.06811,145.09046,K,5,PS,Approx,Bush,Walking,Unkn,Unkn,1,Unkn
80,1926,8,Salmon River,-41.05065,144.82125,K,5,PS,Approx,Bush,Walking,Day,2,2,Near
81,1926,9,Salmon River,-41.05065,144.82125,S,5,EO,Approx,Bush,Walking,Unkn,1,3+,Unkn
82,1926,NA,Arthur River,-41.05263,144.66732,C*,5,EO,Approx,Bush,Walking,Unkn,2,1,Near
83,1926,NA,Arthur River,-41.05263,144.66732,S,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
85,1926,NA,Lake St Clair,-42.11671,146.17776,K,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
87,1927,5,Adamsfield,-42.72345,146.35405,SI,5,EI,Approx,Bush,Walking,Unkn,1,1,Near
88,1927,7,Arthur River,-41.05263,144.66732,C,4,PS,Approx,Bush,Walking,Unkn,1,1,Near
90,1927,NA,Lagoon River,-41.51524,144.98166,C*,5,EO,Approx,Bush,Walking,Unkn,2,1,Near
91,1927,NA,Lagoon River,-41.51524,144.98166,S,5,EO,Approx,Bush,Walking,Night,1,3+,Near
92,1927,NA,Lake Hanson,-41.66378,145.9727,S,5,EO,Approx,Bush,Walking,Unkn,1,2,Near
93,1927,NA,Trowutta,-41.06811,145.09046,S,5,EO,Approx,Bush,Walking,Unkn,1,3+,Near
94,1927,7,West Oonah,-41.22432,145.61204,K,5,PS,Approx,Bush,Walking,Unkn,1,2,Near
95,1928,1,Trowutta,-41.06811,145.09046,C,5,PS,Approx,Bush,Walking,Unkn,1,3+,Near
97,1928,3,Arthur River,-41.05263,144.66732,C,5,PS,Approx,Bush,Walking,Unkn,2,1,Near
98,1928,4,Gordon River,-42.74617,145.96541,SI,5,EI,Approx,Bush,Walking,Day,2,1,Near
100,1928,11,Port Huon,-43.14084,146.94699,S,5,EO,Approx,Bush,Walking,Unkn,3+,1,Near
101,1928,4,Hellyer Gorge,-41.28411,145.60398,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
103,1929,4,Adamsfield,-42.71924,146.3249,S,5,EO,Approx,Bush,Walking,Night,1,1,Near
104,1930,6,Arthur River,-41.16804,145.45115,C,5,PS,Approx,Bush,Walking,Day,2,3+,Near
106,1929,NA,Rosebery,-41.76831,145.53792,S,5,EO,Approx,Road,Walking,Night,1,1,Near
107,1929,NA,Wylds Craig,-42.47399,146.38991,S,5,EO,Approx,Bush,Walking,Night,1,1,Near
108,1930,4,Newhaven Track,-40.99687,145.42598,SI,5,EI,Approx,Bush,Walking,Day,3+,3+,Near
109,1930,5,Mawbanna,-40.93928,145.3495,K,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
111,1930,7,Mt Bischoff,-41.41887,145.52162,C,5,PS,Approx,Bush,Walking,Unkn,2,1,Near
113,1930,10,Hellyer Gorge ,-41.28411,145.60398,S,5,EO,Approx,Road,Driving,Day,3+,2,Near
114,1930,8,Mt Bischoff,-41.41887,145.52162,C,5,PS,Approx,Bush,Walking,Unkn,2,2,Near
116,1930,NA,Arthur River,-41.05263,144.66732,C,5,PS,Approx,Bush,Walking,Day,2,1,Near
117,1930,NA,Mt Direction,-41.22937,147.02438,S,5,EO,Approx,Bush,Walking,Day,3+,1,Near
118,1930,NA,Mt Scott,-41.23072,147.55159,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
119,1930,NA,Pieman River,-41.6525,145.07653,K,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
121,1931,1,Lovetts Flats,-41.30076,146.45578,S,5,EO,Approx,Road,Walking,Day,2,1,Far
122,1931,9,Mersey River,-41.27969,146.4363,S,5,EO,Approx,Bush,Walking,Night,3+,1,Near
123,1931,11,Rabalga,-40.9665,145.35767,OI,4,OI,Approx,Bush,Walking,Night,1,2,Unkn
124,1929,9,Arthur River,-41.22571,145.52361,C,5,PS,Approx,Bush,Walking,Day,1,1,Near
125,1931,NA,Hellyer Gorge,-41.28411,145.60398,C*,5,EO,Approx,Bush,Walking,Unkn,2,1,Near
126,1931,NA,Lake Meston,-41.89366,146.22342,C*,3,EO,Approx,Bush,Walking,Day,1,1,Near
127,1931,7,Preolenna,-41.09003,145.5385,C,5,PS,Precise,Bush,Walking,Unkn,1,1,Near
128,1931,10,Nabageena,-40.9984,145.13402,S,5,EO,Approx,Bush,Walking,Night,1,1,Near
129,1931,NA,Poatina,-41.78802,146.94311,S,5,EO,Approx,Bush,Walking,Day,3+,2,Far
130,1931,NA,Port Davey Track,-43.26632,146.07484,SI,5,EI,Broad,Bush,Walking,Day,1,1,Near
131,1931,NA,Russell River,-42.94165,146.78799,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
133,1932,11,Alcomie,-40.93097,145.18537,S,5,EO,Approx,Bush,Walking,Day,2,1,Near
134,1932,12,Woodstock,-43.06571,147.04177,S,5,EO,Approx,Road,Walking,Night,3+,3+,Far
135,1934,1,Adamsfield,-42.72345,146.35405,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
136,1932,NA,Cape Sorell,-42.19787,145.16973,S,5,EO,Approx,Bush,Walking,Night,2,1,Near
137,1932,NA,Lake St Clair,-42.01467,146.10299,S,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
138,1932,NA,Nelson River,-42.06714,145.77915,SI,5,EI,Approx,Bush,Walking,Day,3+,1,Near
139,1933,5,Rocky River,-41.62846,145.18786,SI,5,EI,Approx,Bush,Walking,Day,1,1,Near
140,1933,NA,Boyes & Pokana River,-42.54028,146.253,K*,5,EO,Approx,Bush,Walking,Day,1,1,Near
141,1933,NA,Port Davey Track,-43.26632,146.07484,OI,4,OI,Broad,Bush,Walking,Day,1,1,Near
143,1933,NA,Wynyard,-40.99056,145.7447,K,5,PS,Approx,Bush,Walking,Day,3+,1,Near
145,1934,NA,Pieman River,-41.6525,145.07653,S,5,EO,Approx,Bush,Walking,Unkn,1,2,Near
146,1934,NA,Mt Victoria,-41.33358,147.83623,S,5,EO,Approx,Bush,Walking,Night,1,1,Near
147,1934,NA,Spero River,-42.63628,145.33797,S,5,EO,Approx,Bush,Walking,Night,1,2,Near
148,1935,3,King William Range,-42.28452,146.12793,S,5,EO,Approx,Bush,Walking,Night,1,1,Near
149,1935,10,Dempster Plains,-41.19318,145.06878,C,4,PS,Approx,Bush,Walking,Unkn,1,3+,Near
150,1935,11,Montagu River,-40.9046,144.90325,SI,5,EI,Approx,Bush,Driving,Day,1,1,Near
151,1935,NA,Brickmakers Bay,-40.85223,145.36012,S,5,EO,Approx,Road,Driving,Night,1,1,Near
152,1935,NA,Dunns Plain,-41.07971,144.83374,OI,4,OI,Approx,Bush,Walking,Night,1,2,Near
153,1935,NA,Mt Arrowsmith,-42.21098,146.09315,S,5,EO,Approx,Road,Walking,Night,1,3+,Near
154,1935,NA,Mt Barrow,-41.36475,147.39499,S,5,EO,Approx,Bush,Walking,Night,1,2,Near
155,1935,NA,Mt Wedge,-42.84841,146.2981,S,5,EO,Approx,Bush,Walking,Unkn,1,3+,Near
156,1936,1,Dolly River,-40.95975,145.18483,S,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
157,1936,7,Collingwood River,-42.16279,145.92755,S,5,EO,Approx,Bush,Walking,Night,2,1,Near
158,1936,9,Surprise Valley,-42.21654,146.07162,S,5,EO,Approx,Road,Walking,Night,1,1,Near
159,1936,12,Lake St Clair,-42.11671,146.17776,SI,5,EI,Approx,Bush,Walking,Day,1,1,Near
160,1937,1,Dolly River,-40.95975,145.18483,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
161,1936,12,Rogerton,-41.03158,145.02539,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
162,1936,NA,Black River,-40.86182,145.32864,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
163,1936,NA,Cardigan River,-42.12583,145.83306,S,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
165,1936,11,Lileah,-40.96168,145.17811,S,5,EO,Approx,Road,Driving,Day,1,1,Near
166,1936,NA,Togari,-40.95616,144.85299,S,5,EO,Approx,Bush,Driving,Unkn,1,1,Near
167,1936,NA,Tarraleah,-42.30087,146.44899,C*,4,EO,Approx,Bush,Walking,Unkn,Unkn,1,Near
168,1936,NA,Franklin River,-42.23802,145.81435,S,5,EO,Approx,Bush,Walking,Day,2,2,Near
169,1936,NA,Traveller River,-42.11394,146.22995,K*,4,EO,Approx,Bush,Walking,Day,1,1,Near
170,1937,1,Dolly River,-40.95975,145.18483,S,5,EO,Approx,Bush,Walking,Night,1,3+,Far
171,1937,1,Port Davey,-43.23149,145.97077,OI,3,OI,Approx,Bush,Walking,Night,1,2,Far
172,1937,2,Lofty Ranges,-41.6319,145.09183,S,5,EO,Approx,Bush,Walking,Night,1,3+,Far
173,1937,2,Jane River,-42.40186,145.98316,SI,5,EI,Approx,Bush,Walking,Day,1,3+,Near
174,1937,3,Mt Bischoff,-41.43085,145.52009,S,5,EO,Approx,Bush,Walking,Night,1,1,Near
175,1937,4,Eldon Peak,-41.99856,145.83469,S,5,EO,Approx,Bush,Walking,Unkn,Unkn,1,Far
176,1937,4,Engineer Range,-42.28334,145.75,S,5,EO,Approx,Bush,Walking,Unkn,Unkn,1,Far
177,1937,4,Waratah,-41.47432,145.2546,S,5,EO,Approx,Road,Driving,Day,1,1,Near
178,1937,7,Mt Hobhouse ,-42.28191,146.20118,S,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
179,1937,NA,Arthur River,-41.05263,144.66732,K*,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
180,1937,NA,Arthur River,-41.05263,144.66732,SI,5,EI,Approx,Bush,Walking,Night,2,1,Near
181,1937,NA,Dee River,-42.50707,146.65027,S,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
182,1937,NA,Calder,-41.03918,145.64017,S,5,EO,Approx,Bush,Walking,Night,1,3+,Near
183,1937,NA,Duck Bay,-40.80616,145.14251,S,5,EO,Approx,Bush,Walking,Night,1,3+,Near
184,1937,NA,Franklin River,-42.37584,145.75683,S,5,EO,Approx,Bush,Walking,Unkn,Unkn,1,Far
185,1937,NA,Jubilee Range,-42.91736,146.53277,C,4,PS,Approx,Bush,Walking,Night,1,1,Near
186,1937,NA,Jubilee Range,-42.91736,146.53277,S,5,EO,Approx,Bush,Walking,Night,1,1,Near
187,1937,NA,Kelly Basin,-42.32383,145.6086,S,5,EO,Approx,Bush,Walking,Unkn,Unkn,3+,Unkn
188,1937,NA,Whyte River ,-41.40754,145.45166,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
189,1937,NA,Middleton Creek,-41.63382,145.08163,S,5,EO,Approx,Bush,Walking,Day,1,2,Near
191,1937,NA,Mt Hobhouse,-42.28191,146.20118,SI,5,EI,Approx,Bush,Walking,Day,1,Unkn,Near
192,1937,11,Raglan Range,-42.1463,145.79458,S,5,EO,Approx,Bush,Walking,Unkn,Unkn,1,Far
193,1937,NA,Sandy Cape,-41.42051,144.75019,SI,5,EI,Approx,Bush,Walking,Day,2,1,Near
194,1937,NA,Spero River,-42.63628,145.33797,S,5,EO,Approx,Bush,Walking,Day,1,3+,Near
195,1938,9,Mt Rufus Track,-42.11718,146.12921,SI,5,EI,Approx,Bush,Walking,Day,Unkn,1,Near
196,1938,NA,Fourfoot Mill,-43.15276,146.91972,SI,5,EI,Approx,Bush,Walking,Day,Unkn,1,Near
197,1938,NA,Irishtown,-40.89725,145.15795,S,5,EO,Approx,Bush,Walking,Day,1,2,Far
198,1938,NA,Arve Valley,-43.15249,146.86547,SI,5,EI,Approx,Bush,Walking,Day,Unkn,1,Near
200,1939,4,Arthur River,-41.07703,144.69367,S,5,EO,Approx,Bush,Walking,Day,2,1,Near
201,1939,NA,Wedge River,-42.85857,146.22983,S,5,EO,Approx,Bush,Walking,Day,3+,1,Near
202,1940,12,Greenes Creek,-41.33117,144.75059,SI,5,EI,Approx,Bush,Walking,Day,1,1,Near
203,1940,NA,Gum Ridge,-42.45027,146.00386,OI,4,OI,Approx,Bush,Walking,Night,1,2,Far
205,1941,11,Lake St Clair,-42.11671,146.17776,S,5,EO,Approx,Bush,Walking,Day,3+,1,Unkn
206,1942,7,Waratah,-41.48511,145.248,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
207,1943,6,Jones Creek,-41.4687,145.30739,SI,5,EI,Approx,Bush,Walking,Day,1,1,Near
208,1943,8,Mt Rufus,-42.11718,146.12921,S,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
209,1943,12,Magnet Valley,-41.43405,145.48118,SI,5,EI,Approx,Bush,Walking,Day,1,1,Near
210,1944,3,Gold Creek,-42.80624,146.58851,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
212,1945,6,Mt Arrowsmith,-42.21688,146.07265,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
213,1946,11,Rasselas Valley,-42.59048,146.34336,SI,5,EI,Approx,Bush,Walking,Day,1,1,Near
214,1946,NA,Mt Misery,-42.96972,147.00799,SI,5,EI,Approx,Bush,Walking,Day,2,3+,Near
215,1947,4,Russell & Denison Valleys,-42.97744,146.8217,S,5,EO,Approx,Bush,Walking,Day,2,1,Near
216,1947,7,Lyell Highway,-42.17325,146.3593,S,5,EO,Approx,Bush,Walking,Day,3+,1,Far
217,1947,NA,Dismal River,-40.95134,144.84193,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
218,1948,9,Goodwins Peak,-43.07662,147.19042,S,5,EO,Approx,Road,Driving,Night,1,1,Near
219,1948,12,Bermuda,-43.05666,146.89833,SI,5,EI,Approx,Bush,Walking,Day,1,1,Near
220,1949,2,Ranelagh,-43.00467,147.02932,S,5,EO,Approx,Road,Walking,Day,1,1,Near
221,1949,2,Mountain River,-42.94243,147.12849,O*I,1,OI,Approx,Bush,Walking,Night,2,1,Near
222,1949,10,Cracroft River,-43.17958,146.50365,SI,5,EI,Approx,Bush,Walking,Day,2,1,Near
223,1950,NA,Corinna-Waratah Rd,-41.46709,145.2881,S,3,EO,Approx,Road,Driving,Night,Unkn,1,Near
224,1950,NA,Christmas Hills,-40.90143,145.00194,S,5,EO,Approx,Bush,Walking,Night,1,1,Near
225,1951,NA,Ellendale,-42.61854,146.71654,S,3,EO,Approx,Bush,Walking,Day,1,1,Near
227,1951,NA,Frenchmans Cap,-42.26596,145.83501,S,4,EO,Approx,Bush,Walking,Unkn,2,1,Near
228,1952,3,Repulse/Derwent Rivers,-42.53801,146.52689,S,5,EO,Precise,Bush,Walking,Day,2,1,Far
229,1952,6,Mt Roland,-41.48282,146.34768,S,4,EO,Approx,Road,Driving,Unkn,Unkn,1,Near
230,1952,7,Little Gell River,-42.44026,146.25363,SI,5,EI,Approx,Bush,Walking,Day,3+,1,Near
231,1952,9,Magog Mountain,-41.55014,146.50162,S,3,EO,Approx,Road,Driving,Night,2,1,Near
236,1938,11,Thirkell's Creek,-42.3569,145.96949,SI,5,EI,Approx,Bush,Walking,Day,3+,1,Near
238,1926,NA,North East,-41.34602,147.77863,K*,5,EO,Broad,Road,Driving,Unkn,3+,1,Near
240,1929,NA,Pelverata,-43.04387,147.1189,S,3,EO,Approx,Unkn,Walking,Night,1,1,Near
241,1937,5,West Coast,-42.06122,145.25448,S,5,EO,Broad,Bush,Walking,Night,1,1,Near
242,1939,NA,Fitzgerald,-42.74913,146.65274,S,4,EO,Approx,Unkn,Walking,Night,1,1,Near
243,1940,NA,Frodshams Pass,-42.81798,146.38721,S,5,EO,Approx,Bush,Walking,Unkn,2,1,Near
245,1942,NA,Huntley Plains,-42.69771,146.39508,S,5,EO,Approx,Bush,Walking,Day,1,1,Far
251,1945,9,Collingwood Range,-42.18027,145.91213,S,5,EO,Approx,Road,Driving,Unkn,Unkn,1,Near
252,1946,1,Mt Arrowsmith,-42.21363,146.06708,SI,5,EI,Approx,Bush,Walking,Day,2,1,Near
254,1946,3,Jane River,-42.31036,145.83912,SI,5,EI,Approx,Bush,Walking,Day,2,1,Near
255,1946,4,Mt Picton,-43.15,146.60012,C*,3,EO,Approx,Bush,Walking,Day,2,3+,Near
258,1947,NA,Balfour Track,-41.1641,144.93768,SI,5,EI,Approx,Bush,Walking,Night,2,1,Far
259,1947,NA,Lake King William,-42.21662,146.26092,K*,5,EO,Approx,Bush,Walking,Unkn,1,3+,Near
260,1947,NA,Mathinna,-41.35561,147.95173,C*,4,EO,Approx,Bush,Walking,Day,2,1,Near
262,1948,12,Antill Ponds,-42.21888,147.40785,O,5,OO,Approx,Road,Driving,Night,1,2,Far
264,1948,NA,Mawbanna,-40.9665,145.35767,K*,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
265,1948,NA,Pieman River,-41.6525,145.07653,K*,4,EO,Approx,Bush,Walking,Night,1,3+,Near
268,1949,NA,Natone,-41.16448,145.92134,K*,4,EO,Approx,Bush,Walking,Night,1,1,Near
271,1951,5,Great Lake,-41.98078,146.72157,O,3,OO,Approx,Bush,Walking,Unkn,1,1,Far
272,1951,NA,Bermuda,-43.05666,146.89833,O,5,OO,Approx,Bush,Walking,Day,2,1,Near
273,1951,NA,Lyell Highway,-42.09114,145.69999,S,5,EO,Approx,Road,Driving,Unkn,1,1,Unkn
274,1952,1,Devonport,-41.1801,146.35023,O,5,OO,Approx,Bush,Walking,Day,2,3+,Near
275,1952,1,Pieman River,-41.54474,145.09177,OI,4,OI,Approx,Bush,Walking,Day,1,1,Near
278,1952,8,House's Run,-41.1722,145.53427,S,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
279,1952,8,Oonah,-41.2252,145.61584,O,3,OO,Approx,Bush,Walking,Unkn,Unkn,1,Unkn
280,1952,NA,Deloraine,-41.67828,146.59887,K*,3,EO,Approx,Road,Driving,Unkn,Unkn,1,Near
281,1951,4,Walls of Jerusalem ,-41.77361,146.23744,S,5,EO,Approx,Bush,Walking,Day,3+,1,Near
282,1950,NA,Smithton,-40.8549,145.11853,C*,4,EO,Approx,Bush,Walking,Day,1,1,Near
283,1953,1,Cox's Bight & New River Lagoon,-43.4976,146.275,SI,3,EI,Approx,Bush,Walking,Day,3+,1,Near
284,1953,1,Tunbridge,-42.12797,147.44597,O,4,OO,Approx,Road,Driving,Night,2,1,Near
285,1953,3,Mt Scott,-41.2428,147.535,K*,4,EO,Approx,Bush,Walking,Day,2,1,Near
287,1953,5,Weld River,-42.81723,146.43215,OI,4,OI,Approx,Bush,Walking,Day,2,1,Near
288,1953,8,Winnaleah,-41.07391,147.83959,C*,4,EO,Approx,Bush,Walking,Day,1,1,Near
289,1953,9,Western Tiers,-41.74996,146.58128,O,5,OO,Approx,Bush,Walking,Unkn,1,1,Unkn
290,1953,9,Lottah,-41.24395,148.01858,SI,4,EI,Approx,Bush,Walking,Day,Unkn,1,Near
292,1954,4,East Coast Highway,-42.15185,148.06808,O,3,OO,Approx,Road,Driving,Unkn,1,1,Unkn
293,1954,6,Mt Arrowsmith,-42.21688,146.07265,O,4,OO,Approx,Road,Driving,Night,2,1,Near
294,1954,8,Corinna-Waratah Rd,-41.46709,145.2881,O,4,OO,Approx,Road,Driving,Day,2,1,Near
295,1955,11,Loongana,-41.41051,145.96324,O,5,OO,Approx,Bush,Walking,Unkn,1,3+,Near
296,1956,1,Traveller Range,-42.06668,146.23331,S,5,EO,Approx,Bush,Walking,Day,3+,1,Far
297,1956,2,Queenstown,-42.14296,145.48643,O,5,OO,Approx,Road,Driving,Unkn,1,1,Unkn
298,1956,4,Que River,-41.60691,145.51332,O,4,OO,Approx,Bush,Walking,Unkn,1,1,Unkn
299,1956,6,Point Hibbs,-42.60374,145.295,SI,4,EI,Approx,Bush,Walking,Day,1,1,Near
300,1956,11,Ringarooma,-41.23152,147.72421,O,1,OO,Approx,Bush,Walking,Day,1,1,Near
301,1956,NA,Snake River,-42.95101,146.54404,S,4,EO,Approx,Bush,Walking,Day,2,2,Near
303,1957,1,Birthday Bay,-42.43838,145.25179,O,4,OO,Approx,Bush,Driving,Day,3+,1,Far
304,1957,3,Cardigan River,-42.12583,145.83306,O,4,OO,Approx,Bush,Walking,Unkn,Unkn,1,Unkn
305,1957,9,Tanina,-42.62838,147.03305,OI,3,OI,Approx,Bush,Walking,Day,2,1,Near
307,1958,1,Mt Hayes,-43.13004,146.23975,SI,5,EI,Approx,Bush,Walking,Day,3+,1,Near
